timestamp,provider,rows,market_share_pct
2026-06-17T11:22:41.287645+00:00,vast,100,68.03
2026-06-17T11:22:41.287645+00:00,runpod,47,31.97
2026-06-19T16:57:05.753793+00:00,crusoe,0,0.0
2026-06-19T16:57:29.522529+00:00,crusoe,0,0.0
2026-06-19T17:00:20.339955+00:00,vast,704,94.1176
2026-06-19T17:00:20.339955+00:00,coreweave,11,1.4706
2026-06-19T17:00:20.339955+00:00,crusoe,11,1.4706
2026-06-19T17:00:20.339955+00:00,nebius,11,1.4706
2026-06-19T17:00:20.339955+00:00,runpod,11,1.4706
2026-06-20T12:07:33.546345+00:00,vast,320,94.1176
2026-06-20T12:07:33.546345+00:00,coreweave,5,1.4706
2026-06-20T12:07:33.546345+00:00,crusoe,5,1.4706
2026-06-20T12:07:33.546345+00:00,nebius,5,1.4706
2026-06-20T12:07:33.546345+00:00,runpod,5,1.4706
