model_name,provider,gpu,record_count,avg_price,price_trend,availability_trend,forecast_signal,confidence
forecast_engine_v2,runpod_real,NVIDIA GeForce GTX 1050 Ti,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,PRO 6000 MIG 24GB,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,PRO 6000 MIG 48GB,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 2000 Ada,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 3070,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 3080,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 3080 Ti,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 3090,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 3090 Ti,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 4000 Ada,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 4000 Ada SFF,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 4070 Ti,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 4080,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 4080 SUPER,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 4090,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 5000 Ada,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 5080,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 5090,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX 6000 Ada,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX A2000,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX A4000,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX A4500,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX A5000,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX A6000,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX PRO 4000,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX PRO 4500,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX PRO 5000,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX PRO 6000,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX PRO 6000 MaxQ,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,RTX PRO 6000 WK,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,Tesla V100,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,V100 SXM2,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,runpod_real,unknown,2,0.0,0.0,0.0,stable_market_expected,52
forecast_engine_v2,vast,A100 PCIE,3,1.0022,0.0,0.0,stable_market_expected,53
forecast_engine_v2,vast,A800 PCIE,3,0.6689,0.0,0.0,stable_market_expected,53
forecast_engine_v2,vast,B200,18,6.4987,0.2962,0.0,price_increase_likely,68
forecast_engine_v2,vast,H100 NVL,6,3.3422,0.999,0.0,price_increase_likely,56
forecast_engine_v2,vast,H100 SXM,15,7.6857,10.5871,0.0,price_increase_likely,65
forecast_engine_v2,vast,H200,27,9.9557,19.584,0.0,price_increase_likely,77
forecast_engine_v2,vast,H200 NVL,15,4.3861,1.4062,0.0,price_increase_likely,65
forecast_engine_v2,vast,RTX 3090,12,0.2119,-0.5481,0.0,price_decrease_likely,62
forecast_engine_v2,vast,RTX 4070S Ti,6,0.2037,0.957,0.0,price_increase_likely,56
forecast_engine_v2,vast,RTX 4090,18,0.6322,0.3849,0.0,price_increase_likely,68
forecast_engine_v2,vast,RTX 4090D,3,0.6022,0.0,0.0,stable_market_expected,53
forecast_engine_v2,vast,RTX 5060,3,0.0689,0.0,0.0,stable_market_expected,53
forecast_engine_v2,vast,RTX 5060 Ti,9,0.1689,0.3797,0.0,price_increase_likely,59
forecast_engine_v2,vast,RTX 5070,6,0.1276,0.1471,0.0,price_increase_likely,56
forecast_engine_v2,vast,RTX 5070 Ti,6,0.3026,0.9709,0.0,price_increase_likely,56
forecast_engine_v2,vast,RTX 5080,3,0.2178,0.0,0.0,stable_market_expected,53
forecast_engine_v2,vast,RTX 5090,42,1.4507,3.1525,0.0,price_increase_likely,92
forecast_engine_v2,vast,RTX 6000Ada,9,1.2029,1.9791,0.0,price_increase_likely,59
forecast_engine_v2,vast,RTX PRO 4000,9,0.4378,1.1391,0.0,price_increase_likely,59
forecast_engine_v2,vast,RTX PRO 5000,9,1.0773,0.8392,0.0,price_increase_likely,59
forecast_engine_v2,vast,RTX PRO 6000 S,36,3.3734,3.1472,0.0,price_increase_likely,86
forecast_engine_v2,vast,RTX PRO 6000 WS,27,2.8551,8.14,0.0,price_increase_likely,77
forecast_engine_v2,vast,Tesla V100,15,0.062,-0.8622,0.0,price_decrease_likely,65
forecast_engine_v2,vast_real,A100 PCIE,1,1.0022,0.0,0.0,stable_market_expected,51
