provider,gpu,forecast_signal,confidence,avg_price,price_spread,record_count,availability_sum,recommendation
runpod_real,B300 MIG 34GB,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,H100 NVL,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,H100 PCIe,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,H100 SXM,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,H200 NVL,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,H200 SXM,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,L4,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,L40,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,L40S,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,MI300X,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,NVIDIA GeForce GTX 1050,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,NVIDIA GeForce GTX 1050 Ti,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,PRO 6000 MIG 24GB,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,PRO 6000 MIG 48GB,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 2000 Ada,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 3070,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 3080,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 3080 Ti,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 3090,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 3090 Ti,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 4000 Ada,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 4000 Ada SFF,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 4070 Ti,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 4080,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 4080 SUPER,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 4090,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 5000 Ada,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 5080,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 5090,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX 6000 Ada,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX A2000,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX A4000,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX A4500,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX A5000,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX A6000,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX PRO 4000,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX PRO 4500,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX PRO 5000,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX PRO 6000,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX PRO 6000 MaxQ,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,RTX PRO 6000 WK,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,Tesla V100,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,V100 SXM2,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
runpod_real,unknown,insufficient_price_data,45,0.0,0.0,2,2.0,Collect more history before making forecast-backed decisions.
vast,A100 PCIE,stable_market,45,1.0022,0.0,3,3.0,Market appears stable for this provider/GPU pair.
vast,A800 PCIE,stable_market,45,0.6689,0.0,3,3.0,Market appears stable for this provider/GPU pair.
vast,B200,volatile_market,50,6.4987,7.8125,18,18.0,Collect more history before making forecast-backed decisions.
vast,H100 NVL,volatile_market,50,3.3422,2.2267,6,6.0,Collect more history before making forecast-backed decisions.
vast,H100 SXM,volatile_market,50,7.6857,17.057,15,15.0,Collect more history before making forecast-backed decisions.
vast,H200,volatile_market,65,9.9557,28.0439,27,27.0,Collect more history before making forecast-backed decisions.
vast,H200 NVL,volatile_market,50,4.3861,7.3849,15,15.0,Collect more history before making forecast-backed decisions.
vast,RTX 3090,volatile_market,50,0.2119,0.1644,12,12.0,Collect more history before making forecast-backed decisions.
vast,RTX 4070S Ti,volatile_market,50,0.2037,0.1319,6,6.0,Collect more history before making forecast-backed decisions.
vast,RTX 4090,volatile_market,50,0.6322,0.5837,18,18.0,Collect more history before making forecast-backed decisions.
vast,RTX 4090D,stable_market,45,0.6022,0.0,3,3.0,Market appears stable for this provider/GPU pair.
vast,RTX 5060,stable_market,45,0.0689,0.0,3,3.0,Market appears stable for this provider/GPU pair.
vast,RTX 5060 Ti,volatile_market,50,0.1689,0.1533,9,9.0,Collect more history before making forecast-backed decisions.
vast,RTX 5070,price_pressure_possible,50,0.1276,0.0175,6,6.0,Collect more history before making forecast-backed decisions.
vast,RTX 5070 Ti,volatile_market,50,0.3026,0.1978,6,6.0,Collect more history before making forecast-backed decisions.
vast,RTX 5080,stable_market,45,0.2178,0.0,3,3.0,Market appears stable for this provider/GPU pair.
