timestamp,coverage,market_strength,avg_activation_score
2026-06-17,33.33,84.75,84.75
2026-06-17,33.33,84.75,84.75
2026-06-17,33.33,85.85,85.85
2026-06-17,100.0,70.6,70.6
2026-06-17,100.0,70.6,70.6
2026-06-17,100.0,70.6,70.6
2026-06-17,100.0,70.6,70.6
2026-06-17,100.0,70.6,70.6
2026-06-17,100.0,70.6,70.6
2026-06-17,100.0,70.6,70.6
2026-06-17,100.0,70.6,70.6
2026-06-17T14:50:35.731536,100.0,70.6,70.6
2026-06-17T14:52:06.044820,100.0,70.6,70.6
2026-06-17T14:53:37.207562,100.0,70.6,70.6
2026-06-17T17:40:16.538612,100.0,66.75,66.75
